,star_id,sobject_id,dr2_source_id,dr3_source_id,survey_name,field_id,flag_repeat,wg4_field,wg4_pipeline,flag_sp,teff,e_teff,irfm_teff,irfm_ebv,irfm_ebv_ref,logg,e_logg,fe_h,e_fe_h,flag_fe_h,fe_h_atmo,vmic,vbroad,e_vbroad,chi2_sp,alpha_fe,e_alpha_fe,nr_alpha_fe,flag_alpha_fe,flux_a_fe,chi_a_fe,li_fe,e_li_fe,nr_li_fe,flag_li_fe,c_fe,e_c_fe,nr_c_fe,flag_c_fe,o_fe,e_o_fe,nr_o_fe,flag_o_fe,na_fe,e_na_fe,nr_na_fe,flag_na_fe,mg_fe,e_mg_fe,nr_mg_fe,flag_mg_fe,al_fe,e_al_fe,nr_al_fe,flag_al_fe,si_fe,e_si_fe,nr_si_fe,flag_si_fe,k_fe,e_k_fe,nr_k_fe,flag_k_fe,ca_fe,e_ca_fe,nr_ca_fe,flag_ca_fe,sc_fe,e_sc_fe,nr_sc_fe,flag_sc_fe,sc2_fe,e_sc2_fe,nr_sc2_fe,flag_sc2_fe,ti_fe,e_ti_fe,nr_ti_fe,flag_ti_fe,ti2_fe,e_ti2_fe,nr_ti2_fe,flag_ti2_fe,v_fe,e_v_fe,nr_v_fe,flag_v_fe,cr_fe,e_cr_fe,nr_cr_fe,flag_cr_fe,cr2_fe,e_cr2_fe,nr_cr2_fe,flag_cr2_fe,mn_fe,e_mn_fe,nr_mn_fe,flag_mn_fe,co_fe,e_co_fe,nr_co_fe,flag_co_fe,ni_fe,e_ni_fe,nr_ni_fe,flag_ni_fe,cu_fe,e_cu_fe,nr_cu_fe,flag_cu_fe,zn_fe,e_zn_fe,nr_zn_fe,flag_zn_fe,rb_fe,e_rb_fe,nr_rb_fe,flag_rb_fe,sr_fe,e_sr_fe,nr_sr_fe,flag_sr_fe,y_fe,e_y_fe,nr_y_fe,flag_y_fe,zr_fe,e_zr_fe,nr_zr_fe,flag_zr_fe,mo_fe,e_mo_fe,nr_mo_fe,flag_mo_fe,ru_fe,e_ru_fe,nr_ru_fe,flag_ru_fe,ba_fe,e_ba_fe,nr_ba_fe,flag_ba_fe,la_fe,e_la_fe,nr_la_fe,flag_la_fe,ce_fe,e_ce_fe,nr_ce_fe,flag_ce_fe,nd_fe,e_nd_fe,nr_nd_fe,flag_nd_fe,sm_fe,e_sm_fe,nr_sm_fe,flag_sm_fe,eu_fe,e_eu_fe,nr_eu_fe,flag_eu_fe,ra_dr2,dec_dr2,parallax_dr2,parallax_error_dr2,r_est_dr2,r_lo_dr2,r_hi_dr2,r_len_dr2,rv_galah,e_rv_galah,rv_gaia_dr2,e_rv_gaia_dr2,red_flag,ebv,snr_c1_iraf,snr_c2_iraf,snr_c3_iraf,snr_c4_iraf,flag_guess,v_jk,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,ph_qual_tmass,w2mpro,w2mpro_error,ph_qual_wise,a_ks,e_a_ks,bc_ks,ruwe_dr2,ra,dec
382,08505666+1149546,140112002802221,604915705209528320,604915705209528320,other,-1,0,10k_35,lbol,0,5669.645,75.1228217291703,5755.0,0.05,bay,4.372683,0.1852373185905206,0.005408764,0.049439518706022596,0,0.015819244,1.1284764,6.9437814,2.1256575644272506,3.372697,0.02601402758411781,0.017478325160822903,447.0,0,0.6870614,14.508512,nan,nan,nan,32,nan,nan,nan,32,0.18338487625122113,0.07827464941323174,1.0,0,-0.08371358871459922,0.02811497639635995,1.0,0,-0.03015241622924769,0.037139418875302005,1.0,0,0.028361644744872905,0.03814557182176456,1.0,0,-0.02673360824584936,0.03303237962311164,1.0,0,-0.1443880271911624,0.04807580759461358,1.0,0,0.004711456298828409,0.042792399853567385,1.0,0,0.04477151870727525,0.02818559435293977,1.0,0,None,None,0,0,0.14909048334984953,0.03220041035896094,51.0,0,0.0007950874497914034,0.02629511067878649,15.0,0,-0.3165636740229232,0.07484277950546246,3.0,0,-0.08853948593139638,0.03900285943111896,1.0,0,None,None,0,0,0.0006655883789061789,0.03685895922059341,1.0,0,0.6556109428405765,0.05870259031753368,2.0,0,0.21666675513658357,0.04109536371402088,3.0,0,0.10055853131379991,0.03126561567160252,3.0,0,0.006662043471694643,0.04564081648620797,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.11917367011721569,0.06805494969138658,3.0,0,0.7253850456132802,0.0665771588495504,10.0,0,nan,nan,nan,32,nan,nan,nan,32,0.13135679244995124,0.047535112414903324,1.0,0,0.47216863047739266,0.0655215539723658,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,132.7360495416825,11.831841396739831,1.0979556093678586,0.034705746791990906,887.196873489095,860.516224163031,915.550237402015,407.39419171355,33.789144083862304,0.3303728505167641,nan,nan,0,0.0,55.0088436963,81.4063719517,132.978929537,129.487579107,0,14.728875,13.396,0.023,13.042,0.022,12.958,0.028,AAA,13.009,0.029,AAUU,0.0,0.03341570425596997,1.5324897,1.0618370675184323,132.73604801230857,11.831840970803485
383,08505666+1149546,140112002802221,604915705209528320,604915705209528320,other,-1,0,10k_35,lbol,0,5669.645,75.1228217291703,5755.0,0.05,bay,4.372683,0.1852373185905206,0.005408764,0.049439518706022596,0,0.015819244,1.1284764,6.9437814,2.1256575644272506,3.372697,0.02601402758411781,0.017478325160822903,447.0,0,0.6870614,14.508512,nan,nan,nan,32,nan,nan,nan,32,0.18338487625122113,0.07827464941323174,1.0,0,-0.08371358871459922,0.02811497639635995,1.0,0,-0.03015241622924769,0.037139418875302005,1.0,0,0.028361644744872905,0.03814557182176456,1.0,0,-0.02673360824584936,0.03303237962311164,1.0,0,-0.1443880271911624,0.04807580759461358,1.0,0,0.004711456298828409,0.042792399853567385,1.0,0,0.04477151870727525,0.02818559435293977,1.0,0,None,None,0,0,0.14909048334984953,0.03220041035896094,51.0,0,0.0007950874497914034,0.02629511067878649,15.0,0,-0.3165636740229232,0.07484277950546246,3.0,0,-0.08853948593139638,0.03900285943111896,1.0,0,None,None,0,0,0.0006655883789061789,0.03685895922059341,1.0,0,0.6556109428405765,0.05870259031753368,2.0,0,0.21666675513658357,0.04109536371402088,3.0,0,0.10055853131379991,0.03126561567160252,3.0,0,0.006662043471694643,0.04564081648620797,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.11917367011721569,0.06805494969138658,3.0,0,0.7253850456132802,0.0665771588495504,10.0,0,nan,nan,nan,32,nan,nan,nan,32,0.13135679244995124,0.047535112414903324,1.0,0,0.47216863047739266,0.0655215539723658,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,132.7360495416825,11.831841396739831,1.0979556093678586,0.034705746791990906,887.196873489095,860.516224163031,915.550237402015,407.39419171355,33.789144083862304,0.3303728505167641,nan,nan,0,0.0,55.0088436963,81.4063719517,132.978929537,129.487579107,0,14.728875,13.396,0.023,13.042,0.022,12.958,0.028,AAA,13.009,0.029,AAUU,0.0,0.03341570425596997,1.5324897,1.0618370675184323,132.73604801230857,11.831840970803485
384,08505666+1149546,140112002802221,604915705209528320,604915705209528320,other,-1,0,10k_35,lbol,0,5669.645,75.1228217291703,5755.0,0.05,bay,4.372683,0.1852373185905206,0.005408764,0.049439518706022596,0,0.015819244,1.1284764,6.9437814,2.1256575644272506,3.372697,0.02601402758411781,0.017478325160822903,447.0,0,0.6870614,14.508512,nan,nan,nan,32,nan,nan,nan,32,0.18338487625122113,0.07827464941323174,1.0,0,-0.08371358871459922,0.02811497639635995,1.0,0,-0.03015241622924769,0.037139418875302005,1.0,0,0.028361644744872905,0.03814557182176456,1.0,0,-0.02673360824584936,0.03303237962311164,1.0,0,-0.1443880271911624,0.04807580759461358,1.0,0,0.004711456298828409,0.042792399853567385,1.0,0,0.04477151870727525,0.02818559435293977,1.0,0,None,None,0,0,0.14909048334984953,0.03220041035896094,51.0,0,0.0007950874497914034,0.02629511067878649,15.0,0,-0.3165636740229232,0.07484277950546246,3.0,0,-0.08853948593139638,0.03900285943111896,1.0,0,None,None,0,0,0.0006655883789061789,0.03685895922059341,1.0,0,0.6556109428405765,0.05870259031753368,2.0,0,0.21666675513658357,0.04109536371402088,3.0,0,0.10055853131379991,0.03126561567160252,3.0,0,0.006662043471694643,0.04564081648620797,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.11917367011721569,0.06805494969138658,3.0,0,0.7253850456132802,0.0665771588495504,10.0,0,nan,nan,nan,32,nan,nan,nan,32,0.13135679244995124,0.047535112414903324,1.0,0,0.47216863047739266,0.0655215539723658,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,132.7360495416825,11.831841396739831,1.0979556093678586,0.034705746791990906,887.196873489095,860.516224163031,915.550237402015,407.39419171355,33.789144083862304,0.3303728505167641,nan,nan,0,0.0,55.0088436963,81.4063719517,132.978929537,129.487579107,0,14.728875,13.396,0.023,13.042,0.022,12.958,0.028,AAA,13.009,0.029,AAUU,0.0,0.03341570425596997,1.5324897,1.0618370675184323,132.73604801230857,11.831840970803485
385,08505666+1149546,140112002802221,604915705209528320,604915705209528320,other,-1,0,10k_35,lbol,0,5669.645,75.1228217291703,5755.0,0.05,bay,4.372683,0.1852373185905206,0.005408764,0.049439518706022596,0,0.015819244,1.1284764,6.9437814,2.1256575644272506,3.372697,0.02601402758411781,0.017478325160822903,447.0,0,0.6870614,14.508512,nan,nan,nan,32,nan,nan,nan,32,0.18338487625122113,0.07827464941323174,1.0,0,-0.08371358871459922,0.02811497639635995,1.0,0,-0.03015241622924769,0.037139418875302005,1.0,0,0.028361644744872905,0.03814557182176456,1.0,0,-0.02673360824584936,0.03303237962311164,1.0,0,-0.1443880271911624,0.04807580759461358,1.0,0,0.004711456298828409,0.042792399853567385,1.0,0,0.04477151870727525,0.02818559435293977,1.0,0,None,None,0,0,0.14909048334984953,0.03220041035896094,51.0,0,0.0007950874497914034,0.02629511067878649,15.0,0,-0.3165636740229232,0.07484277950546246,3.0,0,-0.08853948593139638,0.03900285943111896,1.0,0,None,None,0,0,0.0006655883789061789,0.03685895922059341,1.0,0,0.6556109428405765,0.05870259031753368,2.0,0,0.21666675513658357,0.04109536371402088,3.0,0,0.10055853131379991,0.03126561567160252,3.0,0,0.006662043471694643,0.04564081648620797,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.11917367011721569,0.06805494969138658,3.0,0,0.7253850456132802,0.0665771588495504,10.0,0,nan,nan,nan,32,nan,nan,nan,32,0.13135679244995124,0.047535112414903324,1.0,0,0.47216863047739266,0.0655215539723658,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,132.7360495416825,11.831841396739831,1.0979556093678586,0.034705746791990906,887.196873489095,860.516224163031,915.550237402015,407.39419171355,33.789144083862304,0.3303728505167641,nan,nan,0,0.0,55.0088436963,81.4063719517,132.978929537,129.487579107,0,14.728875,13.396,0.023,13.042,0.022,12.958,0.028,AAA,13.009,0.029,AAUU,0.0,0.03341570425596997,1.5324897,1.0618370675184323,132.73604801230857,11.831840970803485
386,08505666+1149546,140112002802221,604915705209528320,604915705209528320,other,-1,0,10k_35,lbol,0,5669.645,75.1228217291703,5755.0,0.05,bay,4.372683,0.1852373185905206,0.005408764,0.049439518706022596,0,0.015819244,1.1284764,6.9437814,2.1256575644272506,3.372697,0.02601402758411781,0.017478325160822903,447.0,0,0.6870614,14.508512,nan,nan,nan,32,nan,nan,nan,32,0.18338487625122113,0.07827464941323174,1.0,0,-0.08371358871459922,0.02811497639635995,1.0,0,-0.03015241622924769,0.037139418875302005,1.0,0,0.028361644744872905,0.03814557182176456,1.0,0,-0.02673360824584936,0.03303237962311164,1.0,0,-0.1443880271911624,0.04807580759461358,1.0,0,0.004711456298828409,0.042792399853567385,1.0,0,0.04477151870727525,0.02818559435293977,1.0,0,None,None,0,0,0.14909048334984953,0.03220041035896094,51.0,0,0.0007950874497914034,0.02629511067878649,15.0,0,-0.3165636740229232,0.07484277950546246,3.0,0,-0.08853948593139638,0.03900285943111896,1.0,0,None,None,0,0,0.0006655883789061789,0.03685895922059341,1.0,0,0.6556109428405765,0.05870259031753368,2.0,0,0.21666675513658357,0.04109536371402088,3.0,0,0.10055853131379991,0.03126561567160252,3.0,0,0.006662043471694643,0.04564081648620797,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.11917367011721569,0.06805494969138658,3.0,0,0.7253850456132802,0.0665771588495504,10.0,0,nan,nan,nan,32,nan,nan,nan,32,0.13135679244995124,0.047535112414903324,1.0,0,0.47216863047739266,0.0655215539723658,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,132.7360495416825,11.831841396739831,1.0979556093678586,0.034705746791990906,887.196873489095,860.516224163031,915.550237402015,407.39419171355,33.789144083862304,0.3303728505167641,nan,nan,0,0.0,55.0088436963,81.4063719517,132.978929537,129.487579107,0,14.728875,13.396,0.023,13.042,0.022,12.958,0.028,AAA,13.009,0.029,AAUU,0.0,0.03341570425596997,1.5324897,1.0618370675184323,132.73604801230857,11.831840970803485
387,08505666+1149546,140112002802221,604915705209528320,604915705209528320,other,-1,0,10k_35,lbol,0,5669.645,75.1228217291703,5755.0,0.05,bay,4.372683,0.1852373185905206,0.005408764,0.049439518706022596,0,0.015819244,1.1284764,6.9437814,2.1256575644272506,3.372697,0.02601402758411781,0.017478325160822903,447.0,0,0.6870614,14.508512,nan,nan,nan,32,nan,nan,nan,32,0.18338487625122113,0.07827464941323174,1.0,0,-0.08371358871459922,0.02811497639635995,1.0,0,-0.03015241622924769,0.037139418875302005,1.0,0,0.028361644744872905,0.03814557182176456,1.0,0,-0.02673360824584936,0.03303237962311164,1.0,0,-0.1443880271911624,0.04807580759461358,1.0,0,0.004711456298828409,0.042792399853567385,1.0,0,0.04477151870727525,0.02818559435293977,1.0,0,None,None,0,0,0.14909048334984953,0.03220041035896094,51.0,0,0.0007950874497914034,0.02629511067878649,15.0,0,-0.3165636740229232,0.07484277950546246,3.0,0,-0.08853948593139638,0.03900285943111896,1.0,0,None,None,0,0,0.0006655883789061789,0.03685895922059341,1.0,0,0.6556109428405765,0.05870259031753368,2.0,0,0.21666675513658357,0.04109536371402088,3.0,0,0.10055853131379991,0.03126561567160252,3.0,0,0.006662043471694643,0.04564081648620797,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.11917367011721569,0.06805494969138658,3.0,0,0.7253850456132802,0.0665771588495504,10.0,0,nan,nan,nan,32,nan,nan,nan,32,0.13135679244995124,0.047535112414903324,1.0,0,0.47216863047739266,0.0655215539723658,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,132.7360495416825,11.831841396739831,1.0979556093678586,0.034705746791990906,887.196873489095,860.516224163031,915.550237402015,407.39419171355,33.789144083862304,0.3303728505167641,nan,nan,0,0.0,55.0088436963,81.4063719517,132.978929537,129.487579107,0,14.728875,13.396,0.023,13.042,0.022,12.958,0.028,AAA,13.009,0.029,AAUU,0.0,0.03341570425596997,1.5324897,1.0618370675184323,132.73604801230857,11.831840970803485
388,08505666+1149546,140112002802221,604915705209528320,604915705209528320,other,-1,0,10k_35,lbol,0,5669.645,75.1228217291703,5755.0,0.05,bay,4.372683,0.1852373185905206,0.005408764,0.049439518706022596,0,0.015819244,1.1284764,6.9437814,2.1256575644272506,3.372697,0.02601402758411781,0.017478325160822903,447.0,0,0.6870614,14.508512,nan,nan,nan,32,nan,nan,nan,32,0.18338487625122113,0.07827464941323174,1.0,0,-0.08371358871459922,0.02811497639635995,1.0,0,-0.03015241622924769,0.037139418875302005,1.0,0,0.028361644744872905,0.03814557182176456,1.0,0,-0.02673360824584936,0.03303237962311164,1.0,0,-0.1443880271911624,0.04807580759461358,1.0,0,0.004711456298828409,0.042792399853567385,1.0,0,0.04477151870727525,0.02818559435293977,1.0,0,None,None,0,0,0.14909048334984953,0.03220041035896094,51.0,0,0.0007950874497914034,0.02629511067878649,15.0,0,-0.3165636740229232,0.07484277950546246,3.0,0,-0.08853948593139638,0.03900285943111896,1.0,0,None,None,0,0,0.0006655883789061789,0.03685895922059341,1.0,0,0.6556109428405765,0.05870259031753368,2.0,0,0.21666675513658357,0.04109536371402088,3.0,0,0.10055853131379991,0.03126561567160252,3.0,0,0.006662043471694643,0.04564081648620797,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.11917367011721569,0.06805494969138658,3.0,0,0.7253850456132802,0.0665771588495504,10.0,0,nan,nan,nan,32,nan,nan,nan,32,0.13135679244995124,0.047535112414903324,1.0,0,0.47216863047739266,0.0655215539723658,3.0,0,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,nan,nan,nan,32,132.7360495416825,11.831841396739831,1.0979556093678586,0.034705746791990906,887.196873489095,860.516224163031,915.550237402015,407.39419171355,33.789144083862304,0.3303728505167641,nan,nan,0,0.0,55.0088436963,81.4063719517,132.978929537,129.487579107,0,14.728875,13.396,0.023,13.042,0.022,12.958,0.028,AAA,13.009,0.029,AAUU,0.0,0.03341570425596997,1.5324897,1.0618370675184323,132.73604801230857,11.831840970803485
389,08504686+1153526,140112002802230,604969168962428672,604969168962428672,other,-1,0,10k_28,lbol,0,5391.014,86.602728607034,5471.0,0.07,bay,4.521634,0.1911648139207253,0.17764902,0.06378530855032792,0,0.100918256,1.0825623,6.564676,2.203588104477136,3.5392947,0.010317624761276773,0.03431970667620216,187.0,0,0.74208885,6.766894,nan,nan,nan,32,nan,nan,nan,32,0.5258579063415532,0.12440083372929567,1.0,0,-0.052691993713378515,0.048918936440772005,1.0,0,0.3706206321716312,0.0668496555586687,1.0,0,-0.16929069519042983,0.06556400311716551,1.0,0,-0.1485807609558103,0.054268761119754455,1.0,0,-0.23372394561767607,0.08072691011247768,1.0,0,nan,nan,nan,32,-0.028608951568603658,0.05131210756672916,1.0,0,None,None,0,0,-0.0830394373497595,0.05916300170489382,23.0,0,-0.1757565689086915,0.11184262484312057,8.0,0,-0.16315006256103537,0.13455435030971663,1.0,0,-0.06012762069702138,0.0711993669276344,1.0,0,None,None,0,0,0.02336303710937493,0.07017995059861112,1.0,0,nan,nan,nan,32,-0.003237228393555114,0.09829019986824664,2.0,0,0.2507587719061041,0.053401231752341245,3.0,0,0.07457745023863291,0.09076459370184312,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.13833745956420884,0.146053589986525,2.0,0,0.6690247917175292,0.14197121681497626,8.0,0,1.3395458030700684,0.12043782412289472,2.0,0,nan,nan,nan,32,nan,nan,nan,32,0.387398738861084,0.16183893382549286,2.0,0,-0.04193867683410657,0.13475505729524234,1.0,1,nan,nan,2.0,32,nan,nan,nan,32,nan,nan,nan,32,132.69524063746303,11.89794873336695,1.1129326678621176,0.03982087567263319,875.549251889232,845.858464830936,907.355125645676,407.33035794826,33.311906309814454,0.39965347177063915,nan,nan,0,0.0,28.8793211459,45.2952494023,83.408721461,83.3554509213,0,15.374658,13.901,0.025,13.461,0.029,13.402,0.035,AAA,13.48,0.032,AAUU,0.0,0.039644422202176344,1.6914902,0.9763742725176914,132.6952390787646,11.897948334774068
390,08504686+1153526,140112002802230,604969168962428672,604969168962428672,other,-1,0,10k_28,lbol,0,5391.014,86.602728607034,5471.0,0.07,bay,4.521634,0.1911648139207253,0.17764902,0.06378530855032792,0,0.100918256,1.0825623,6.564676,2.203588104477136,3.5392947,0.010317624761276773,0.03431970667620216,187.0,0,0.74208885,6.766894,nan,nan,nan,32,nan,nan,nan,32,0.5258579063415532,0.12440083372929567,1.0,0,-0.052691993713378515,0.048918936440772005,1.0,0,0.3706206321716312,0.0668496555586687,1.0,0,-0.16929069519042983,0.06556400311716551,1.0,0,-0.1485807609558103,0.054268761119754455,1.0,0,-0.23372394561767607,0.08072691011247768,1.0,0,nan,nan,nan,32,-0.028608951568603658,0.05131210756672916,1.0,0,None,None,0,0,-0.0830394373497595,0.05916300170489382,23.0,0,-0.1757565689086915,0.11184262484312057,8.0,0,-0.16315006256103537,0.13455435030971663,1.0,0,-0.06012762069702138,0.0711993669276344,1.0,0,None,None,0,0,0.02336303710937493,0.07017995059861112,1.0,0,nan,nan,nan,32,-0.003237228393555114,0.09829019986824664,2.0,0,0.2507587719061041,0.053401231752341245,3.0,0,0.07457745023863291,0.09076459370184312,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.13833745956420884,0.146053589986525,2.0,0,0.6690247917175292,0.14197121681497626,8.0,0,1.3395458030700684,0.12043782412289472,2.0,0,nan,nan,nan,32,nan,nan,nan,32,0.387398738861084,0.16183893382549286,2.0,0,-0.04193867683410657,0.13475505729524234,1.0,1,nan,nan,2.0,32,nan,nan,nan,32,nan,nan,nan,32,132.69524063746303,11.89794873336695,1.1129326678621176,0.03982087567263319,875.549251889232,845.858464830936,907.355125645676,407.33035794826,33.311906309814454,0.39965347177063915,nan,nan,0,0.0,28.8793211459,45.2952494023,83.408721461,83.3554509213,0,15.374658,13.901,0.025,13.461,0.029,13.402,0.035,AAA,13.48,0.032,AAUU,0.0,0.039644422202176344,1.6914902,0.9763742725176914,132.6952390787646,11.897948334774068
391,08504686+1153526,140112002802230,604969168962428672,604969168962428672,other,-1,0,10k_28,lbol,0,5391.014,86.602728607034,5471.0,0.07,bay,4.521634,0.1911648139207253,0.17764902,0.06378530855032792,0,0.100918256,1.0825623,6.564676,2.203588104477136,3.5392947,0.010317624761276773,0.03431970667620216,187.0,0,0.74208885,6.766894,nan,nan,nan,32,nan,nan,nan,32,0.5258579063415532,0.12440083372929567,1.0,0,-0.052691993713378515,0.048918936440772005,1.0,0,0.3706206321716312,0.0668496555586687,1.0,0,-0.16929069519042983,0.06556400311716551,1.0,0,-0.1485807609558103,0.054268761119754455,1.0,0,-0.23372394561767607,0.08072691011247768,1.0,0,nan,nan,nan,32,-0.028608951568603658,0.05131210756672916,1.0,0,None,None,0,0,-0.0830394373497595,0.05916300170489382,23.0,0,-0.1757565689086915,0.11184262484312057,8.0,0,-0.16315006256103537,0.13455435030971663,1.0,0,-0.06012762069702138,0.0711993669276344,1.0,0,None,None,0,0,0.02336303710937493,0.07017995059861112,1.0,0,nan,nan,nan,32,-0.003237228393555114,0.09829019986824664,2.0,0,0.2507587719061041,0.053401231752341245,3.0,0,0.07457745023863291,0.09076459370184312,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.13833745956420884,0.146053589986525,2.0,0,0.6690247917175292,0.14197121681497626,8.0,0,1.3395458030700684,0.12043782412289472,2.0,0,nan,nan,nan,32,nan,nan,nan,32,0.387398738861084,0.16183893382549286,2.0,0,-0.04193867683410657,0.13475505729524234,1.0,1,nan,nan,2.0,32,nan,nan,nan,32,nan,nan,nan,32,132.69524063746303,11.89794873336695,1.1129326678621176,0.03982087567263319,875.549251889232,845.858464830936,907.355125645676,407.33035794826,33.311906309814454,0.39965347177063915,nan,nan,0,0.0,28.8793211459,45.2952494023,83.408721461,83.3554509213,0,15.374658,13.901,0.025,13.461,0.029,13.402,0.035,AAA,13.48,0.032,AAUU,0.0,0.039644422202176344,1.6914902,0.9763742725176914,132.6952390787646,11.897948334774068
392,08504686+1153526,140112002802230,604969168962428672,604969168962428672,other,-1,0,10k_28,lbol,0,5391.014,86.602728607034,5471.0,0.07,bay,4.521634,0.1911648139207253,0.17764902,0.06378530855032792,0,0.100918256,1.0825623,6.564676,2.203588104477136,3.5392947,0.010317624761276773,0.03431970667620216,187.0,0,0.74208885,6.766894,nan,nan,nan,32,nan,nan,nan,32,0.5258579063415532,0.12440083372929567,1.0,0,-0.052691993713378515,0.048918936440772005,1.0,0,0.3706206321716312,0.0668496555586687,1.0,0,-0.16929069519042983,0.06556400311716551,1.0,0,-0.1485807609558103,0.054268761119754455,1.0,0,-0.23372394561767607,0.08072691011247768,1.0,0,nan,nan,nan,32,-0.028608951568603658,0.05131210756672916,1.0,0,None,None,0,0,-0.0830394373497595,0.05916300170489382,23.0,0,-0.1757565689086915,0.11184262484312057,8.0,0,-0.16315006256103537,0.13455435030971663,1.0,0,-0.06012762069702138,0.0711993669276344,1.0,0,None,None,0,0,0.02336303710937493,0.07017995059861112,1.0,0,nan,nan,nan,32,-0.003237228393555114,0.09829019986824664,2.0,0,0.2507587719061041,0.053401231752341245,3.0,0,0.07457745023863291,0.09076459370184312,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.13833745956420884,0.146053589986525,2.0,0,0.6690247917175292,0.14197121681497626,8.0,0,1.3395458030700684,0.12043782412289472,2.0,0,nan,nan,nan,32,nan,nan,nan,32,0.387398738861084,0.16183893382549286,2.0,0,-0.04193867683410657,0.13475505729524234,1.0,1,nan,nan,2.0,32,nan,nan,nan,32,nan,nan,nan,32,132.69524063746303,11.89794873336695,1.1129326678621176,0.03982087567263319,875.549251889232,845.858464830936,907.355125645676,407.33035794826,33.311906309814454,0.39965347177063915,nan,nan,0,0.0,28.8793211459,45.2952494023,83.408721461,83.3554509213,0,15.374658,13.901,0.025,13.461,0.029,13.402,0.035,AAA,13.48,0.032,AAUU,0.0,0.039644422202176344,1.6914902,0.9763742725176914,132.6952390787646,11.897948334774068
393,08504686+1153526,140112002802230,604969168962428672,604969168962428672,other,-1,0,10k_28,lbol,0,5391.014,86.602728607034,5471.0,0.07,bay,4.521634,0.1911648139207253,0.17764902,0.06378530855032792,0,0.100918256,1.0825623,6.564676,2.203588104477136,3.5392947,0.010317624761276773,0.03431970667620216,187.0,0,0.74208885,6.766894,nan,nan,nan,32,nan,nan,nan,32,0.5258579063415532,0.12440083372929567,1.0,0,-0.052691993713378515,0.048918936440772005,1.0,0,0.3706206321716312,0.0668496555586687,1.0,0,-0.16929069519042983,0.06556400311716551,1.0,0,-0.1485807609558103,0.054268761119754455,1.0,0,-0.23372394561767607,0.08072691011247768,1.0,0,nan,nan,nan,32,-0.028608951568603658,0.05131210756672916,1.0,0,None,None,0,0,-0.0830394373497595,0.05916300170489382,23.0,0,-0.1757565689086915,0.11184262484312057,8.0,0,-0.16315006256103537,0.13455435030971663,1.0,0,-0.06012762069702138,0.0711993669276344,1.0,0,None,None,0,0,0.02336303710937493,0.07017995059861112,1.0,0,nan,nan,nan,32,-0.003237228393555114,0.09829019986824664,2.0,0,0.2507587719061041,0.053401231752341245,3.0,0,0.07457745023863291,0.09076459370184312,3.0,0,nan,nan,nan,32,nan,nan,nan,32,-0.13833745956420884,0.146053589986525,2.0,0,0.6690247917175292,0.14197121681497626,8.0,0,1.3395458030700684,0.12043782412289472,2.0,0,nan,nan,nan,32,nan,nan,nan,32,0.387398738861084,0.16183893382549286,2.0,0,-0.04193867683410657,0.13475505729524234,1.0,1,nan,nan,2.0,32,nan,nan,nan,32,nan,nan,nan,32,132.69524063746303,11.89794873336695,1.1129326678621176,0.03982087567263319,875.549251889232,845.858464830936,907.355125645676,407.33035794826,33.311906309814454,0.39965347177063915,nan,nan,0,0.0,28.8793211459,45.2952494023,83.408721461,83.3554509213,0,15.374658,13.901,0.025,13.461,0.029,13.402,0.035,AAA,13.48,0.032,AAUU,0.0,0.039644422202176344,1.6914902,0.9763742725176914,132.6952390787646,11.897948334774068
