ra,dec,barycentric_distance,pmra,pmdec,mag_g,mean_absolute_v
7.352812008192929,2.6536393697178817,1531.7593,2.9780996,0.9322387,16.420599,5.6
7.352813023907674,2.653639248814334,1531.7593,2.9780998,0.93223864,16.344696,5.5508513
3.6443221921722295,8.098594213378908,1524.5862,6.7246666,-12.088151,16.181164,5.2
3.6443676254989885,8.098639671164303,1524.587,6.724663,-12.088144,16.16492,5.1910067
1.2648886117569396,3.92430700133443,2279.5332,2.4419503,-3.8411903,17.311335,5.6
3.6291274926021866,3.2016957499833243,1896.1511,6.7463145,0.46638805,16.735659,5.4
3.628667820685936,3.1970354420450433,1896.2167,6.745949,0.4650369,16.414515,5.107706
1.8967453860823744,9.434402066776656,1099.325,-5.3489814,-28.45867,15.808126,5.6368647
7.615947689401013,9.277395696351912,8780.066,6.473681,-4.031544,19.971392,5.2
7.615947854400654,9.277395458802287,8780.066,6.473681,-4.031544,19.942463,5.181294
7.761694249160617,7.581249336698162,4522.566,12.113076,-7.631264,18.456259,5.2
7.761694251087678,7.581249343956616,4522.566,12.113076,-7.631264,18.447153,5.1948156
7.762480890758713,7.590376287868019,832.33923,2.9893234,-2.5418086,15.483554,5.94
7.762494324305055,7.590385368516206,832.3382,2.9893286,-2.5418108,15.353234,5.852144
1.2721245250934237,5.228768269613478,4040.601,1.486124,-8.693164,18.424475,5.4
1.2721205979503436,5.2287716283278245,4040.6018,1.4861228,-8.693161,18.09699,5.089448
4.601229446707164,3.1051309830342513,3355.155,3.338672,-0.8641425,18.32709,5.8
4.6016737652166455,3.1047150014320724,3355.0708,3.3387668,-0.8641763,17.65842,5.142286
8.355807573065617,9.504931929955365,1516.8851,-3.8306756,-8.233418,16.142145,5.2
8.354804544970394,9.50499845043391,1516.8888,-3.830705,-8.233405,16.115946,5.185765
9.279356511648363,4.26929649791552,4269.292,2.6493301,-3.0184634,18.492977,5.4
9.279356480221969,4.269296903675236,4269.292,2.6493301,-3.0184631,18.097977,5.029709
5.4920902965174845,1.9755823423179983,1441.9419,-12.940664,-42.455837,16.509474,5.8
5.492114451450132,1.9755641532452584,1441.9421,-12.940657,-42.455833,16.312077,5.634081
5.149481901106736,8.755238111834757,2714.5576,20.312052,-7.102958,17.624466,5.4
5.149465275053317,8.75526447491986,2714.5596,20.31204,-7.1029563,17.53854,5.333569
6.277730418514386,8.700797560816818,2317.2412,7.0762186,-10.421682,17.256964,5.4
9.386306296193172,8.405507938245208,1362.52,3.881716,-2.0005424,16.081522,5.4
9.38604206748003,8.405105877575814,1362.5281,3.8817341,-2.000467,16.019203,5.3653135
9.36046789706749,8.407710629377327,5812.4634,6.0929394,-2.133003,19.206766,5.4
9.360467890314887,8.4077106355202,5812.4634,6.0929394,-2.133003,19.579992,5.8
5.026674114268507,5.937707644142665,3824.0166,7.8405027,-11.025365,18.656965,5.8
4.409503087801256,4.913732233659315,650.5374,1.9258126,-7.328671,14.642647,5.65
4.409530202233117,4.913760500084703,650.5373,1.9258138,-7.328671,14.618208,5.63565
5.565786867686233,1.2799536871917483,323.64154,17.824612,-1.9284533,13.33562,5.95
